"Timestamp","Server","PR","Build","DockerVersion","KernelVersion","Result","Error"
"2019-05-31 21:25:53","azure-windows-rs1-3","39294","25421","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-e7fbe8e457\daemon\windowsfilter\4208b6bd0492d7872f6adfc6b7f198b4c0e309aa3545ca03b4f1c573bd7d8656 D:\CI\CI-e7fbe8e457\daemon\windowsfilter\4208b6bd0492d7872f6adfc6b7f198b4c0e309aa3545ca03b4f1c573bd7d8656-removing: Access is denied.: failed to remove image sha256:99dd2ad6116331f36157d094c13c527e9435e812491cf064150570a4dc801748"
"2019-05-31 21:44:45","azure-windows-rs1-3","39295","25422","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE",
"2019-06-01 01:19:43","azure-windows-rs1-9","39297","25423","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-8f66fa4c81\daemon\windowsfilter\fef73fe4b945b3d62555b400cf5d7648c84962fe20497c5069b25de326815061 D:\CI\CI-8f66fa4c81\daemon\windowsfilter\fef73fe4b945b3d62555b400cf5d7648c84962fe20497c5069b25de326815061-removing: Access is denied.: failed to remove image sha256:297dc700ed8188d2f47ecde08802c521a60ac0180bd8bbd2f01dd1ee2e966e18"
"2019-06-01 03:37:12","azure-windows-rs1-3","39292","25424","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-497dcff89c\daemon\windowsfilter\a60993f5a51427581db9379363d5f0c21218f58970853c6dcaf00dc758b6ddb2 D:\CI\CI-497dcff89c\daemon\windowsfilter\a60993f5a51427581db9379363d5f0c21218f58970853c6dcaf00dc758b6ddb2-removing: Access is denied.: failed to remove image sha256:61482ce034991644dee913338d896a07abaa21db6936bebed333ffe2416b36c8"
"2019-06-01 09:07:25","azure-windows-rs1-4","39292","25425","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-497dcff89c\daemon\windowsfilter\2a2fd1f51c3a977e756cda8fa903bab29c29279812d9f9f0fb41fa7bd58105be D:\CI\CI-497dcff89c\daemon\windowsfilter\2a2fd1f51c3a977e756cda8fa903bab29c29279812d9f9f0fb41fa7bd58105be-removing: Access is denied.: failed to remove image testbuildaddnontar:latest"
"2019-06-01 12:15:13","azure-windows-rs1-4","39298","25426","master-dockerproject-2019-04-10",,"FAILURE",
"2019-06-01 14:25:15","azure-windows-rs1-4","39294","25427","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-e7fbe8e457\daemon\windowsfilter\42b38f0a85e3bb14eaa19dd0dd41fac7e93c3dd94d57225756cef4b3d54529dd D:\CI\CI-e7fbe8e457\daemon\windowsfilter\42b38f0a85e3bb14eaa19dd0dd41fac7e93c3dd94d57225756cef4b3d54529dd-removing: Access is denied.: failed to remove image sha256:3ac87b58208f50b6806d7d7b22e40bc2b654145432db2937411e24c05f948ad8"
"2019-06-02 15:15:14","azure-windows-rs1-5","39299","25428","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-153466ba0a\daemon\windowsfilter\860b9d9c71181bc0ca965d3f922c3971b92f3897ea4da85bb69ac275c2b991b6 D:\CI\CI-153466ba0a\daemon\windowsfilter\860b9d9c71181bc0ca965d3f922c3971b92f3897ea4da85bb69ac275c2b991b6-removing: Access is denied.: failed to remove image sha256:b9e7967508093357bfd79351fa8f9da006a0d8306098dcc0c443e7890cade5c3"
"2019-06-03 09:07:48","azure-windows-rs1-5","242","25429","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: The system cannot find the file specified.: rename D:\CI\CI-c2df0a9dd4\daemon\windowsfilter\f3ca40622e188f36408bf453d8cc75b3329b7d047678510ca54643824c7054d5 D:\CI\CI-c2df0a9dd4\daemon\windowsfilter\f3ca40622e188f36408bf453d8cc75b3329b7d047678510ca54643824c7054d5-removing: Access is denied.: failed to remove image testbuildaddmultiplelocalfilewithcache:latest"
"2019-06-03 09:10:07","azure-windows-rs1-9","249","25430","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-e1e47d090d\daemon\windowsfilter\00c894c82574434c9442643be1599cef4cefb08e7a0846621d283ba31f849043 D:\CI\CI-e1e47d090d\daemon\windowsfilter\00c894c82574434c9442643be1599cef4cefb08e7a0846621d283ba31f849043-removing: Access is denied.: failed to remove image sha256:30432a045fc2f865e53a7e24414a92215e47d6b0492a5e335945e42d7dd10aea"
"2019-06-03 09:14:11","azure-windows-rs1-3","39193","25431","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-0bb121b0ed\daemon\windowsfilter\0961dd4abde8c1f0da12acaa436cf4148a09ee01ff227471b27bbd9702a78746 D:\CI\CI-0bb121b0ed\daemon\windowsfilter\0961dd4abde8c1f0da12acaa436cf4148a09ee01ff227471b27bbd9702a78746-removing: Access is denied.: failed to remove image sha256:d0eb3e2d92082abc2216950d841aedec5b1e76745826c4678887640bac37b53a"
"2019-06-03 09:29:17","azure-windows-rs1-4","250","25432","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: The system cannot find the file specified.: rename D:\CI\CI-d0beadc90c\daemon\windowsfilter\8bfe3e30527654b509afba33a4d24571e7d0886f1cec4f545b3757fa4ae03693 D:\CI\CI-d0beadc90c\daemon\windowsfilter\8bfe3e30527654b509afba33a4d24571e7d0886f1cec4f545b3757fa4ae03693-removing: Access is denied.: failed to remove image testbuildaddtosymlinkdest:latest"
"2019-06-03 09:30:11","azure-windows-rs1-3","251","25433","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-d59fb97c5b\daemon\windowsfilter\9e2ce220e861ce3e54452bebef111de0b99877a4040a785f16b942f3701df122 D:\CI\CI-d59fb97c5b\daemon\windowsfilter\9e2ce220e861ce3e54452bebef111de0b99877a4040a785f16b942f3701df122-removing: Access is denied.: failed to remove image sha256:b5fb83460d16fd005646044fa4e4b3ce05f145729930ab79f3beb691370403a4"
"2019-06-03 10:42:49","azure-windows-rs1-5","39299","25434","master-dockerproject-2019-04-10","10.0 14393 (14393.2906.amd64fre.rs1_release_inmarket.190401-1809)","FAILURE","assertion failed: error is not nil: Error response from daemon: failed to detach VHD: invalid argument: rename D:\CI\CI-d472dc58d9\daemon\windowsfilter\7c396ad4e567fc4b66e7c8039db0aed9f7f59292baf30e8a0470a17f9fd0ab01 D:\CI\CI-d472dc58d9\daemon\windowsfilter\7c396ad4e567fc4b66e7c8039db0aed9f7f59292baf30e8a0470a17f9fd0ab01-removing: Access is denied.: failed to remove image sha256:f0e6a1c9213254568e0faf72fe20af75fc2ac5cab802135e8591b8c0eeb333e9"
